"#"	"CCN"	"name"	"phone"	"city"	"state"	"zip"	"url"	"domain"	"email"	"emails"	"aux_urls"	"home_url"	"domains"
"2"	"017000"	"BUREAU OF HOME & COMMUNITY SERVICES"	"3342065341"	"MONTGOMERY"	"AL"	"36104"	""	"adph.org"	"wt.geary@adph.state.al.us"	"wt.geary@adph.state.al.us"	"http://adph.org/../publications/assets/privacy.pdf,http://adph.org/../healthcarefacilities"	"http://adph.org"	"adph.org"
"3"	"017008"	"JEFFERSON COUNTY HOME CARE"	"2059169500"	"BESSEMER"	"AL"	"35020"	"http://www.jcdh.org/"	"www.jcdh.org"	"david.erikson@jcdh.org"	"david.erikson@jcdh.org,hostmaster@jcdh.org"	""	"http://www.jcdh.org/"	"www.jcdh.org"
"4"	"017009"	"ALACARE HOME HEALTH & HOSPICE"	"2058242680"	"BIRMINGHAM"	"AL"	"35216"	""	"www.alacare.com"	""	""	""	"http://www.alacare.com"	"www.alacare.com,www.twitter.com"
"5"	"017013"	"GENTIVA HEALTH SERVICES"	"3343470234"	"ENTERPRISE"	"AL"	"36330"	"http://enterprise.gentivahomehealth.com"	"enterprise.gentivahomehealth.com"	""	""	""	"http://enterprise.gentivahomehealth.com"	"enterprise.gentivahomehealth.com,gentiva.com"
"6"	"017014"	"AMEDISYS HOME HEALTH OF BLOUNTSVILLE"	"2052744919"	"ONEONTA"	"AL"	"35121"	""	"www.stvhomehealth.com"	""	""	"http://www.stvhomehealth.com/aboutus.asp,http://www.stvhomehealth.com/contactus.asp"	"http://www.stvhomehealth.com"	"www.stvhomehealth.com,amedisys.com"
"7"	"017016"	"SOUTHEAST ALABAMA HOMECARE"	"3347940591"	"ENTERPRISE"	"AL"	"36330"	""	"lhcgroup.com"	"ask.lhc@lhcgroup.com"	"ask.lhc@lhcgroup.com"	"http://lhcgroup.com/about-lhc-group,http://lhcgroup.com/contact-us"	"http://lhcgroup.com"	"lhcgroup.com"
"8"	"017017"	"SOUTHERN RURAL HEALTH CARE"	"2563321631"	"RUSSELLVILLE"	"AL"	"35653"	""	""	""	""	""	""	""
"9"	"017018"	"GENTIVA HEALTH SERVICES"	"2564421138"	"RAINBOW CITY"	"AL"	"35906"	"http://www.kindredathome.com/"	"www.kindredathome.com"	"compliance@kindred.com"	"compliance@kindred.com"	"http://www.kindredathome.com/about-us/,http://www.kindredathome.com/privacy-policy/,http://www.kindredathome.com/contact-us/"	"http://www.kindredathome.com/"	"www.kindredathome.com"
"10"	"017020"	"AMEDISYS HOME HEALTH CARE"	"2513800492"	"MOBILE"	"AL"	"36609"	"http://www.amedisys.com/"	"www.amedisys.com"	"info@amedisys.com"	"info@amedisys.com"	"http://www.amedisys.com/privacy.aspx,http://www.amedisys.com/our-company/contact-us.aspx"	"http://www.amedisys.com/"	"www.amedisys.com"
"11"	"017024"	"SOUTHEAST ALABAMA HOMECARE"	"3347940591"	"DOTHAN"	"AL"	"36301"	""	"lhcgroup.com"	"ask.lhc@lhcgroup.com"	"ask.lhc@lhcgroup.com"	"http://lhcgroup.com/about-lhc-group,http://lhcgroup.com/contact-us"	"http://lhcgroup.com"	"lhcgroup.com"
"12"	"017025"	"SAAD HEALTHCARE"	"2513439600"	"MOBILE"	"AL"	"36609"	""	"www.saadhealthcare.com"	""	""	"http://www.saadhealthcare.com/about.html,http://www.saadhealthcare.com/privacy.html,http://www.saadhealthcare.com/contact.html,http://www.saadhealthcare.com/rs_staffing_serv.html"	"http://www.saadhealthcare.com"	"www.saadhealthcare.com"
"13"	"017026"	"GENTIVA HEALTH SERVICES"	"2057397800"	"BIRMINGHAM"	"AL"	"35244"	"http://birmingham.gentivahospice.com"	"birmingham.gentivahospice.com"	""	""	""	"http://birmingham.gentivahospice.com"	"birmingham.gentivahospice.com,www.gentiva.com"
"14"	"017027"	"DECATUR MORGAN HOMECARE"	"2563504182"	"DECATUR"	"AL"	"35603"	"http://lhcgroup.com/"	"lhcgroup.com"	"ask.lhc@lhcgroup.com"	"ask.lhc@lhcgroup.com"	"http://lhcgroup.com/about-lhc-group,http://lhcgroup.com/contact-us"	"http://lhcgroup.com/"	"lhcgroup.com"
"15"	"017028"	"CENTRAL ALABAMA HOMECARE"	"2057837900"	"FULTONDALE"	"AL"	"35068"	""	"almostfamily.com"	""	""	"http://almostfamily.com/contact.php"	"http://almostfamily.com"	"almostfamily.com"
"16"	"017034"	"MERCY MEDICAL HOME HEALTH"	"2516214431"	"FAIR HOPE"	"AL"	"36532"	""	"mercymedical.com"	""	""	"http://mercymedical.com/about.html,http://mercymedical.com/contact.html"	"http://mercymedical.com/index.php"	"mercymedical.com"
"17"	"017035"	"INFIRMARY HOMECARE OF MOBILE"	"2514503300"	"MOBILE"	"AL"	"36609"	"http://lhcgroup.com/locations/infirmary-homecare-of-mobile"	"lhcgroup.com"	""	""	""	"http://lhcgroup.com/locations/infirmary-homecare-of-mobile"	"lhcgroup.com"
"18"	"017037"	"BAPTIST HOME HEALTH"	"3343955100"	"MONTGOMERY"	"AL"	"36109"	""	"www.lhcgroup.com"	"ask.lhc@lhcgroup.com"	"ask.lhc@lhcgroup.com"	"http://www.lhcgroup.com/about-lhc-group,http://www.lhcgroup.com/contact-us"	"http://www.lhcgroup.com"	"www.lhcgroup.com"
"19"	"017039"	"AMEDISYS HOME HEALTH OF HUNTSVILLE"	"2569229919"	"HUNTSVILLE"	"AL"	"35801"	""	""	""	""	""	""	""
"20"	"017041"	"ALABAMA HOMECARE"	"2059793180"	"VESTAVIA HILLS"	"AL"	"35216"	""	"lhcgroup.com"	"ask.lhc@lhcgroup.com"	"ask.lhc@lhcgroup.com"	"http://lhcgroup.com/about-lhc-group,http://lhcgroup.com/contact-us"	"http://lhcgroup.com"	"lhcgroup.com"
"21"	"017048"	"GENTIVA HEALTH SERVICES"	"3346843919"	"GENEVA"	"AL"	"36340"	"http://geneva.gentivahomehealth.com"	"geneva.gentivahomehealth.com"	""	""	""	"http://geneva.gentivahomehealth.com"	"geneva.gentivahomehealth.com,www.gentiva.com"
"22"	"017050"	"SPECTRUM HOME HEALTH AGENCY"	"2565394457"	"HUNTSVILLE"	"AL"	"35816"	""	""	""	""	""	""	""
"23"	"017051"	"AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM"	"2058680147"	"HOMEWOOD"	"AL"	"35209"	""	"www.amedisys.com"	"info@amedisys.com"	"info@amedisys.com"	"http://www.amedisys.com/privacy.aspx,http://www.amedisys.com/our-company/contact-us.aspx"	"http://www.amedisys.com"	"www.amedisys.com"
"24"	"017052"	"GENTIVA HEALTH SERVICES"	"2519433002"	"FOLEY"	"AL"	"36535"	"http://foley.gentivahomehealth.com"	"foley.gentivahomehealth.com"	""	""	""	"http://foley.gentivahomehealth.com"	"foley.gentivahomehealth.com,www.gentiva.com"
"25"	"017053"	"CARESOUTH HOMECARE PROFESSIONALS"	"3347935758"	"DOTHAN"	"AL"	"36305"	""	""	""	""	""	""	""
"26"	"017054"	"GENTIVA HEALTH SERVICES"	"2058360777"	"BIRMINGHAM"	"AL"	"35235"	"http://birmingham.gentivahospice.com"	"birmingham.gentivahospice.com"	""	""	""	"http://birmingham.gentivahospice.com"	"birmingham.gentivahospice.com,www.gentiva.com"
"27"	"017055"	"GENTIVA HEALTH SERVICES"	"3343619806"	"PRATTVILLE"	"AL"	"36066"	"http://www.gentiva.com/index.php"	"www.gentiva.com"	""	""	""	"http://www.gentiva.com/index.php"	"www.gentiva.com"
"28"	"017056"	"GENTIVA HEALTH SERVICES"	"3342701151"	"PIKE ROAD"	"AL"	"36064"	"http://pikeroad.gentivahomehealth.com"	"pikeroad.gentivahomehealth.com"	""	""	""	"http://pikeroad.gentivahomehealth.com"	"pikeroad.gentivahomehealth.com,www.gentiva.com"
"29"	"017058"	"GENTIVA HEALTH SERVICES"	"2516210882"	"DAPHNE"	"AL"	"36526"	"http://daphne.gentivahomehealth.com"	"daphne.gentivahomehealth.com"	""	""	""	"http://daphne.gentivahomehealth.com"	"daphne.gentivahomehealth.com,www.gentiva.com"
"30"	"017063"	"INTREPID USA HEALTHCARE SERVICES"	"2058773403"	"MOUNTAIN BROOK"	"AL"	"35213"	""	"intrepidusa.com"	""	""	""	"http://intrepidusa.com"	"intrepidusa.com"
"31"	"017066"	"SPRINGHILL HOME HEALTH AND HOSPICE"	"2514338172"	"MOBILE"	"AL"	"36607"	""	""	""	""	""	""	""
"32"	"017067"	"INTREPID USA HEALTHCARE SERVICES"	"3342707913"	"MONTGOMERY"	"AL"	"36106"	""	"intrepidusa.com"	""	""	""	"http://intrepidusa.com"	"intrepidusa.com"
"33"	"017069"	"AMEDISYS HOME HEALTH OF FOLEY"	"2519711436"	"FOLEY"	"AL"	"36535"	""	"www.amedisys.com"	"info@amedisys.com"	"info@amedisys.com"	"http://www.amedisys.com/privacy.aspx,http://www.amedisys.com/our-company/contact-us.aspx"	"http://www.amedisys.com"	"www.amedisys.com"
"34"	"017070"	"AMEDISYS HOME HEALTH OF CITRONELLE"	"2518663261"	"CITRONELLE"	"AL"	"36522"	""	"www.amedisys.com"	"info@amedisys.com"	"info@amedisys.com"	"http://www.amedisys.com/privacy.aspx,http://www.amedisys.com/our-company/contact-us.aspx"	"http://www.amedisys.com"	"www.amedisys.com"
"35"	"017071"	"GENTIVA HEALTH SERVICES"	"2057397800"	"MOULTON"	"AL"	"35650"	"http://www.gentiva.com/"	"www.gentiva.com"	""	""	""	"http://www.gentiva.com/"	"www.gentiva.com"
"36"	"017072"	"AMEDISYS HOME HEALTH OF GREENVILLE"	"3343822042"	"GREENVILLE"	"AL"	"36037"	""	""	""	""	""	""	""
"37"	"017078"	"AMEDISYS HOME HEALTH OF REFORM"	"2053759255"	"REFORM"	"AL"	"35481"	""	"www.amedisys.com"	"info@amedisys.com"	"info@amedisys.com"	"http://www.amedisys.com/privacy.aspx,http://www.amedisys.com/our-company/contact-us.aspx"	"http://www.amedisys.com"	"www.amedisys.com"
"38"	"017079"	"LAMAR HOME CARE INC"	"2056956736"	"VERNON"	"AL"	"35592"	""	"www.lamarhomecareinc.com"	"info@lamarhomecareinc.com"	"info@lamarhomecareinc.com"	"http://www.lamarhomecareinc.com/about-us.php,http://www.lamarhomecareinc.com/contact-us.php"	"http://www.lamarhomecareinc.com"	"www.lamarhomecareinc.com"
"39"	"017080"	"DCH HOME HEALTH CARE AGENCY"	"2057597010"	"TUSCALOOSA"	"AL"	"35401"	""	""	""	""	""	""	""
"40"	"017082"	"CV HOME HEALTH OF BIBB COUNTY"	"2059263211"	"CENTREVILLE"	"AL"	"35042"	""	"bibbmedicalcenter.com"	""	""	"http://bibbmedicalcenter.com/about-us.php,http://bibbmedicalcenter.com/privacy-policy.php,http://bibbmedicalcenter.com/contact-us.php"	"http://bibbmedicalcenter.com"	"bibbmedicalcenter.com"
"41"	"017084"	"GENTIVA HOME HEALTH SERVICES"	"3348726637"	"SELMA"	"AL"	"36701"	"http://selma.gentivahomehealth.com"	"selma.gentivahomehealth.com"	""	""	""	"http://selma.gentivahomehealth.com"	"selma.gentivahomehealth.com,www.gentiva.com"
"42"	"017085"	"COOSA VALLEY HOMECARE"	"2562080087"	"SYLACAUGA"	"AL"	"35150"	""	"www.cvhealth.net"	""	""	"http://www.cvhealth.net/about-cvmc/find-us/,http://www.cvhealth.net/cvm/privacy-policy"	"http://www.cvhealth.net"	"www.cvhealth.net,lhcgroup.com"
"43"	"017086"	"ALABAMA HOMECARE"	"3346829050"	"CAMDEN"	"AL"	"36726"	""	"lhcgroup.com"	"ask.lhc@lhcgroup.com"	"ask.lhc@lhcgroup.com"	"http://lhcgroup.com/about-lhc-group,http://lhcgroup.com/contact-us"	"http://lhcgroup.com"	"lhcgroup.com"
"44"	"017088"	"FAYETTE MEDICAL CENTER HOMECARE"	"2059325961"	"FAYETTE"	"AL"	"35555"	""	"www.dchsystem.com"	""	""	"http://www.dchsystem.com/about_us/history.aspx,http://www.dchsystem.com/about_us/dch_board_of_directors.aspx,http://www.dchsystem.com/privacy_practices.aspx,http://www.dchsystem.com/contact_us.aspx,http://www.dchsystem.com/our_facilities.aspx"	"http://www.dchsystem.com"	"www.dchsystem.com"
"45"	"017089"	"CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES"	"2567372831"	"CULLMAN"	"AL"	"35058"	""	"crmchospital.com"	""	""	"http://crmchospital.com/about_us.aspx,http://crmchospital.com/about_us/mission_statement.aspx,http://crmchospital.com/about_us/board_of_directors.aspx,http://crmchospital.com/privacy_legal.aspx,http://crmchospital.com/about_us/contact_us.aspx,http://crmchospital.com/about_us/our_facilities.aspx,http://crmchospital.com/articles/cullman_regional_welcomes_cardiologist_tracy_neal_md_to_medical_staff.aspx"	"http://crmchospital.com"	"crmchospital.com"
"46"	"017090"	"GENTIVA HEALTH SERVICES"	"2518432808"	"GILBERTOWN"	"AL"	"36908"	"http://gilbertown.gentivahomehealth.com"	"gilbertown.gentivahomehealth.com"	""	""	""	"http://gilbertown.gentivahomehealth.com"	"gilbertown.gentivahomehealth.com,www.gentiva.com"
"47"	"017091"	"HALE COUNTY HOSPITAL HOME HEALTH"	"3346243066"	"GREENSBORO"	"AL"	"36744"	""	""	""	""	""	""	""
"48"	"017092"	"MEDICAL CENTER HOME HEALTH"	"2053678111"	"CARROLLTON"	"AL"	"35447"	"http://pickenscountymedicalcenter.com/"	"pickenscountymedicalcenter.com"	""	""	"http://pickenscountymedicalcenter.com/about.html,http://pickenscountymedicalcenter.com/assets/pcmcprivacypractices.pdf,http://pickenscountymedicalcenter.com/contact.html"	"http://pickenscountymedicalcenter.com/"	"pickenscountymedicalcenter.com"
"49"	"017093"	"DEKALB REGIONAL HOME HEALTH"	"2565242411"	"FORT PAYNE"	"AL"	"35968"	"http://www.dekalbhomecare.com/"	"www.dekalbhomecare.com"	""	""	"http://www.dekalbhomecare.com/fort-payne-al-home-health/about-us2.aspx,http://www.dekalbhomecare.com/fort-payne-al-home-health/privacy-policy.aspx,http://www.dekalbhomecare.com/fort-payne-al-home-health/contact-us3.aspx"	"http://www.dekalbhomecare.com/"	"www.dekalbhomecare.com"
"50"	"017094"	"CHEROKEE HOME HEALTH"	"2569271144"	"CENTRE"	"AL"	"35960"	"http://www.cherokeehomecare.com/"	"www.cherokeehomecare.com"	""	""	"http://www.cherokeehomecare.com/centre-al-home-health/about-us2.aspx,http://www.cherokeehomecare.com/centre-al-home-health/privacy-policy.aspx,http://www.cherokeehomecare.com/centre-al-home-health/contact-us3.aspx"	"http://www.cherokeehomecare.com/"	"www.cherokeehomecare.com"
"51"	"017095"	"ATHENS-LIMESTONE HOMECARE"	"2562339533"	"ATHENS"	"AL"	"35611"	"http://lhcgroup.com/"	"lhcgroup.com"	"ask.lhc@lhcgroup.com"	"ask.lhc@lhcgroup.com"	"http://lhcgroup.com/about-lhc-group,http://lhcgroup.com/contact-us"	"http://lhcgroup.com/"	"lhcgroup.com"
"52"	"017096"	"TROY REGIONAL MEDICAL CENTER HOME HEALTH"	"3344034520"	"TROY"	"AL"	"36081"	""	""	""	""	""	""	""
"53"	"017097"	"CLAY COUNTY HOSPITAL HOME CARE, LLC"	"2563540077"	"ASHLAND"	"AL"	"36251"	""	""	""	""	""	""	""
"54"	"017100"	"MARION REGIONAL HOMECARE"	"2059210391"	"HAMILTON"	"AL"	"35570"	""	""	""	""	""	""	""
"55"	"017101"	"HEALTH NOW HOME HEALTH"	"2053925263"	"YORK"	"AL"	"36925"	""	""	""	""	""	""	""
"56"	"017102"	"ALABAMA HOMECARE"	"2053723399"	"EUTAW"	"AL"	"35462"	""	"www.lhcgroup.com"	"ask.lhc@lhcgroup.com"	"ask.lhc@lhcgroup.com"	"http://www.lhcgroup.com/about-lhc-group,http://www.lhcgroup.com/contact-us"	"http://www.lhcgroup.com"	"www.lhcgroup.com,lacgroup.com"
"57"	"017103"	"BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH"	"3342890701"	"DEMOPOLIS"	"AL"	"36732"	""	"www.bwwmh.com"	""	""	"http://www.bwwmh.com/about.html,http://www.bwwmh.com/privacy.html,http://www.bwwmh.com/contacts.html"	"http://www.bwwmh.com"	"www.bwwmh.com"
"58"	"017104"	"HIGHLANDS HOME HEALTH"	"2562594840"	"SCOTTSBORO"	"AL"	"35768"	""	""	""	""	""	""	""
"59"	"017106"	"EVERGREEN HOME CARE"	"2515786800"	"EVERGREEN"	"AL"	"36401"	""	"www.evergreenmedical.org"	"shehant@evergreenmedical.org"	"shehant@evergreenmedical.org"	""	"http://www.evergreenmedical.org"	"www.evergreenmedical.org"
"60"	"017107"	"SUNCREST HOME HEALTH"	"2052804663"	"CLANTON"	"AL"	"35045"	""	""	""	""	""	""	""
"61"	"017109"	"NORTHWEST HOME HEALTH - HALEYVILLE"	"2054857341"	"HALEYVILLE"	"AL"	"35565"	""	"lakelandcommunityhospital.com"	""	""	"http://lakelandcommunityhospital.com/about_us/news.aspx,http://lakelandcommunityhospital.com/patients_visitors/privacy_practices.aspx,http://lakelandcommunityhospital.com/contact_us/phone_directory.aspx"	"http://lakelandcommunityhospital.com"	"lakelandcommunityhospital.com"
"62"	"017112"	"JACKSON MEDICAL CENTER HOME HEALTH"	"2512470424"	"JACKSON"	"AL"	"36545"	""	"www.jacksonmedicalcenter.org"	"jmc_it@jacksonmedicalcenter.org"	"jmc_it@jacksonmedicalcenter.org"	""	"http://www.jacksonmedicalcenter.org/getpage.php"	"www.jacksonmedicalcenter.org"
"63"	"017115"	"GADSDEN REGIONAL HOME HEALTH"	"2565382273"	"ATTALLA"	"AL"	"35954"	"http://www.gadsdenhomecare.com/"	"www.gadsdenhomecare.com"	""	""	"http://www.gadsdenhomecare.com/gadsden-attalla-al-home-health/about-us2.aspx,http://www.gadsdenhomecare.com/gadsden-attalla-al-home-health/privacy-policy.aspx,http://www.gadsdenhomecare.com/gadsden-attalla-al-home-health/contact-us3.aspx"	"http://www.gadsdenhomecare.com/"	"www.gadsdenhomecare.com"
"64"	"017116"	"IVY CREEK HOME HEALTH OF ELMORE"	"3345677710"	"WETUMPKA"	"AL"	"36092"	""	"elmorehospital.com"	""	""	"http://elmorehospital.com/about,http://elmorehospital.com/facilities/hospital"	"http://elmorehospital.com"	"elmorehospital.com,ivycreekhealth.com"
"65"	"017117"	"LAKE MARTIN HOME HEALTH"	"2568257050"	"DADEVILLE"	"AL"	"36853"	""	"www.lakemartinhomehealth.com"	""	""	"http://www.lakemartinhomehealth.com/about,http://www.lakemartinhomehealth.com/facilities/hospital"	"http://www.lakemartinhomehealth.com"	"www.lakemartinhomehealth.com"
"66"	"017118"	"AMEDISYS H H, A LAWRENCE MEDICAL CTR PARTNER"	"2569742200"	"MOULTON"	"AL"	"35650"	""	""	""	""	""	""	""
"67"	"017119"	"HUNTSVILLE HOSPITAL HOMECARE"	"2569226650"	"HUNTSVILLE"	"AL"	"35806"	""	"www.lhcgroup.com"	"ask.lhc@lhcgroup.com"	"ask.lhc@lhcgroup.com"	"http://www.lhcgroup.com/about-lhc-group,http://www.lhcgroup.com/contact-us"	"http://www.lhcgroup.com"	"www.lhcgroup.com,twitter.com"
"68"	"017121"	"GENTIVA HEALTH SERVICES"	"3342222172"	"ANDALUSIA"	"AL"	"36420"	"http://andalusia.gentivahomehealth.com"	"andalusia.gentivahomehealth.com"	""	""	""	"http://andalusia.gentivahomehealth.com"	"andalusia.gentivahomehealth.com,www.gentiva.com"
"69"	"017123"	"EAMC - LANIER HOME HEALTH"	"3347561950"	"VALLEY"	"AL"	"36854"	"http://www.lanierhospital.com/"	"www.lanierhospital.com"	"info@lanierhospital.com"	"info@lanierhospital.com"	"http://www.lanierhospital.com/about.html,http://www.lanierhospital.com/jointcommission.html,http://www.lanierhospital.com/privacy.html,http://www.lanierhospital.com/contact.html"	"http://www.lanierhospital.com/"	"www.lanierhospital.com"
"70"	"017124"	"DALE MEDICAL CTR HOME HEALTH"	"3347740750"	"OZARK"	"AL"	"36360"	"http://www.dalemedicalcenter.com/"	"www.dalemedicalcenter.com"	""	""	""	"http://www.dalemedicalcenter.com/"	"www.dalemedicalcenter.com"
"71"	"017125"	"KELLER HOME CARE"	"2563568160"	"RED BAY"	"AL"	"35582"	""	""	""	""	""	""	""
"72"	"017127"	"SOUTH BALDWIN REGIONAL HOME HEALTH"	"2514241045"	"FOLEY"	"AL"	"36535"	""	""	""	""	""	""	""
"73"	"017128"	"MEDICAL CENTERS HOMECARE"	"2568785811"	"GUNTERSVILLE"	"AL"	"35976"	""	"www.mmcenters.com"	""	""	""	"https://www.mmcenters.com/services/homecare"	"www.mmcenters.com"
"74"	"017129"	"HOMECARE OF EAST ALABAMA MEDICAL CENTER"	"3348263131"	"AUBURN"	"AL"	"36830"	""	"www.eamc.org"	"brock.burgess@eamc.org"	"brock.burgess@eamc.org"	""	"http://www.eamc.org"	"www.eamc.org,eamcfoundation.org"
"75"	"017130"	"INFIRMARY HOMECARE OF GROVE HILL"	"2512753136"	"GROVE HILL"	"AL"	"36451"	""	"lhcgroup.com"	"ask.lhc@lhcgroup.com"	"ask.lhc@lhcgroup.com"	"http://lhcgroup.com/about-lhc-group,http://lhcgroup.com/contact-us"	"http://lhcgroup.com"	"lhcgroup.com"
"76"	"017132"	"BROOKDALE HOME HEALTH BIRMINGHAM"	"2052740720"	"ONEONTA"	"AL"	"35121"	""	"www.brookdale.com"	"partner@brookdale.com"	"partner@brookdale.com"	"https://www.brookdale.com/content/brookdale/en/our-company/mission-and-culture.html,https://www.brookdale.com/content/brookdale/en/our-company/board-of-directors.html,https://www.brookdale.com/content/brookdale/en/privacy-policy.html,https://www.brookdale.com/content/brookdale/en/our-company/contact-us.html"	"https://www.brookdale.com/en/our-services/home-health-services/home-health/brookdale-home-health-birmingham.html"	"www.brookdale.com"
"77"	"017134"	"LHC HOMECARE OF SOUTH ALABAMA"	"3344932087"	"OPP"	"AL"	"36467"	""	""	""	""	""	""	""
"78"	"017135"	"COMMUNITY HOME CARE"	"3342836541"	"TALLASSEE"	"AL"	"36078"	""	"www.chal.org"	"ctaylor@chal.org"	"ctaylor@chal.org"	""	"http://www.chal.org"	"www.chal.org"
"79"	"017136"	"RELIABLE HOME HEALTH"	"3343762286"	"GEORGIANA"	"AL"	"36033"	""	"www.reliablehomehealth.com"	""	""	""	"http://www.reliablehomehealth.com"	"www.reliablehomehealth.com"
"80"	"017138"	"L V STABLER MEMORIAL HOME HEALTH"	"3343832286"	"GREENVILLE"	"AL"	"36037"	""	"www.lvstablerhomecare.com"	""	""	"http://www.lvstablerhomecare.com/greenville-al-home-health/about-us2.aspx,http://www.lvstablerhomecare.com/greenville-al-home-health/privacy-policy.aspx,http://www.lvstablerhomecare.com/greenville-al-home-health/contact-us3.aspx"	"http://www.lvstablerhomecare.com"	"www.lvstablerhomecare.com"
"81"	"017139"	"ASSOCIATES HOME HEALTH SERVICES"	"3347384155"	"UNION SPRINGS"	"AL"	"36089"	""	""	""	""	""	""	""
"82"	"017140"	"THE HOSPITAL HOME HEALTH"	"3343353374"	"LUVERNE"	"AL"	"36049"	""	""	""	""	""	""	""
"83"	"017142"	"ATMORE COMMUNITY HOME CARE, LLC"	"2513686286"	"ATMORE"	"AL"	"36502"	""	""	""	""	""	""	""
"84"	"017143"	"D W MCMILLAN HOME HEALTH"	"2518675054"	"BREWTON"	"AL"	"36426"	"http://www.dwmmh.org/"	"www.dwmmh.org"	"lstallworth@dwmmh.org"	"lstallworth@dwmmh.org"	""	"http://www.dwmmh.org/"	"www.dwmmh.org"
"85"	"017145"	"ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY"	"2058847202"	"PELL CITY"	"AL"	"35128"	""	"www.carefirst-al.com"	""	""	""	"http://www.carefirst-al.com"	"www.carefirst-al.com"
"86"	"017146"	"NORTHWEST HOME HEALTH"	"2563310006"	"RUSSELLVILLE"	"AL"	"35653"	""	"russellvillehospital.com"	""	""	"http://russellvillehospital.com/patients_visitors/information_about_your_visit.aspx,http://russellvillehospital.com/patients_visitors/privacy_policy.aspx,http://russellvillehospital.com/contact_us.aspx"	"http://russellvillehospital.com"	"russellvillehospital.com"
"87"	"017147"	"SOUTHERN HOME HEALTH SERVICES"	"3347457966"	"OPELIKA"	"AL"	"36801"	""	"www.southernhomehealthcares.com"	""	""	"http://www.southernhomehealthcares.com/about-us.html"	"http://www.southernhomehealthcares.com"	"www.southernhomehealthcares.com"
"88"	"017148"	"THOMAS HOME HEALTH"	"2516251520"	"FAIRHOPE"	"AL"	"36532"	""	"www.thomashospital.com"	""	""	"http://www.thomashospital.com/about,http://www.thomashospital.com/privacy-practices"	"http://www.thomashospital.com"	"www.thomashospital.com,lhcgroup.com"
"89"	"017149"	"ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY"	"2053132800"	"HOOVER"	"AL"	"35242"	"http://stvhomehealth.com/"	"stvhomehealth.com"	""	""	"http://stvhomehealth.com/aboutus.asp,http://stvhomehealth.com/contactus.asp"	"http://stvhomehealth.com/"	"stvhomehealth.com"
"90"	"017151"	"GENTIVA HEALTH SERVICES"	"2568357101"	"ANNISTON"	"AL"	"36207"	"http://anniston.gentivahomehealth.com"	"anniston.gentivahomehealth.com"	""	""	""	"http://anniston.gentivahomehealth.com"	"anniston.gentivahomehealth.com,www.gentiva.com"
