"#"	"provnum"	"name"	"phone"	"city"	"state"	"zip"	"url"	"domain"	"email"	"emails"	"aux_urls"	"home_url"	"domains"
"2"	"015009"	"BURNS NURSING HOME, INC."	"2563324110"	"RUSSELLVILLE"	"AL"	"35653"	""	"www.terracemanor.net"	""	""	"http://www.terracemanor.net/about-us.html,http://www.terracemanor.net/contact-us.html"	"http://www.terracemanor.net"	"www.terracemanor.net,www.realpagessites.com,www.terracemanor.com"
"3"	"015010"	"COOSA VALLEY NURSING FACILITY"	"2562495604"	"SYLACAUGA"	"AL"	"35150"	""	""	""	""	""	""	""
"4"	"015012"	"HIGHLANDS HEALTH AND REHAB"	"2562183708"	"SCOTTSBORO"	"AL"	"35768"	"http://highlandsmedcenter.com/"	"highlandsmedcenter.com"	"info@highlandsmedcenter.com"	"info@highlandsmedcenter.com"	"http://highlandsmedcenter.com/about_us.aspx,http://highlandsmedcenter.com/about_us/mission_vision_values.aspx,http://highlandsmedcenter.com/about_us/board_of_directors.aspx,http://highlandsmedcenter.com/about_us/privacy_policy.aspx,http://highlandsmedcenter.com/about_us/contact_us.aspx"	"http://highlandsmedcenter.com/"	"highlandsmedcenter.com"
"5"	"015014"	"EASTVIEW REHABILITATION & HEALTHCARE CENTER"	"2058330146"	"BIRMINGHAM"	"AL"	"35206"	""	"www.leaderdog.org"	"donorsupport@leaderdog.org"	"donorsupport@leaderdog.org,leaderdog@leaderdog.org"	"http://www.leaderdog.org/volunteers/about-puppy-raising,http://www.leaderdog.org/mission-values,http://www.leaderdog.org/supporters/donor-privacy-policy,http://www.leaderdog.org/contact,http://www.leaderdog.org/about-us/facilities"	"http://www.leaderdog.org"	"www.leaderdog.org"
"6"	"015015"	"PLANTATION MANOR NURSING HOME"	"2054776161"	"MC CALLA"	"AL"	"35111"	""	"www.oaktracerehab.com"	"tvines@oaktracerehab.com"	"tvines@oaktracerehab.com,psturdivant@oaktracererehab.com,tamala_jones@ymail.com,tammy.carter@oaktracerehab.com"	"http://www.oaktracerehab.com/about-us.html,http://www.oaktracerehab.com/privacy-policy.html,http://www.oaktracerehab.com/contact-us.html"	"http://www.oaktracerehab.com"	"www.oaktracerehab.com"
"7"	"015016"	"ATHENS REHABILITATION CENTER & SENIOR CARE"	"2562321620"	"ATHENS"	"AL"	"35611"	""	""	""	""	""	""	""
"8"	"015019"	"MERRY WOOD LODGE CARE AND REHABILITATION CENTER"	"3345678484"	"ELMORE"	"AL"	"36025"	""	"www.leaderdog.org"	"donorsupport@leaderdog.org"	"donorsupport@leaderdog.org,leaderdog@leaderdog.org"	"http://www.leaderdog.org/volunteers/about-puppy-raising,http://www.leaderdog.org/mission-values,http://www.leaderdog.org/supporters/donor-privacy-policy,http://www.leaderdog.org/contact,http://www.leaderdog.org/about-us/facilities"	"http://www.leaderdog.org"	"www.leaderdog.org"
"9"	"015023"	"HATLEY HEALTH CARE INC"	"2057554960"	"CLANTON"	"AL"	"35045"	""	"montgomeryalhomecare.com"	""	""	""	"http://montgomeryalhomecare.com"	"montgomeryalhomecare.com,local.homehelpershomecare.com"
"10"	"015024"	"SENIOR REHAB & RECOVERY AT LIMESTONE HEALTH FACILI"	"2562323461"	"ATHENS"	"AL"	"35611"	""	"www.resultsphysiotherapy.com"	""	""	""	"http://www.resultsphysiotherapy.com"	"www.resultsphysiotherapy.com"
"11"	"015027"	"WETUMPKA HEALTH AND REHABILITATION, LLC"	"3345675131"	"WETUMPKA"	"AL"	"36092"	""	"www.leaderdog.org"	"donorsupport@leaderdog.org"	"donorsupport@leaderdog.org,leaderdog@leaderdog.org"	"http://www.leaderdog.org/volunteers/about-puppy-raising,http://www.leaderdog.org/mission-values,http://www.leaderdog.org/supporters/donor-privacy-policy,http://www.leaderdog.org/contact,http://www.leaderdog.org/about-us/facilities"	"http://www.leaderdog.org"	"www.leaderdog.org"
"12"	"015028"	"KELLER LANDING"	"2563831535"	"TUSCUMBIA"	"AL"	"35674"	""	"www.wrightsurveying.com"	"wrightlandsurveyor@att.net"	"wrightlandsurveyor@att.net"	"http://www.wrightsurveying.com/contact-us"	"http://www.wrightsurveying.com"	"www.wrightsurveying.com"
"13"	"015031"	"MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION"	"2567405400"	"FLORENCE"	"AL"	"35631"	""	"www.cesltc.com"	""	""	""	"http://www.cesltc.com"	"www.cesltc.com"
"14"	"015032"	"GOLDEN LIVING CENTER - FOLEY"	"2519432781"	"FOLEY"	"AL"	"36535"	""	"www.hvfairhope.com"	"info@hvfairhope.com"	"info@hvfairhope.com"	"http://www.hvfairhope.com/contact-us"	"http://www.hvfairhope.com"	"www.hvfairhope.com"
"15"	"015034"	"HUNTER CREEK HEALTH AND REHABILITATION, LLC"	"2053395900"	"NORTHPORT"	"AL"	"35473"	""	"www.surgicalspec.com"	"info@surgicalspec.com"	"info@surgicalspec.com"	""	"http://www.surgicalspec.com"	"www.surgicalspec.com"
"16"	"015035"	"WEST GATE VILLAGE"	"2518676077"	"BREWTON"	"AL"	"36427"	""	"www.elmcroft.com"	""	""	""	"http://www.elmcroft.com"	"www.elmcroft.com"
"17"	"015037"	"WOODLEY MANOR HEALTH & REHABILITATION"	"3342882780"	"MONTGOMERY"	"AL"	"36116"	""	"goldenliving.com"	"ask@goldenliving.com"	"ask@goldenliving.com"	"http://goldenliving.com/about-us/contact-us.aspx,http://goldenliving.com/privacy.aspx,http://goldenliving.com/about-us/contact-us.aspx,http://goldenliving.com/healthcare-services/healthcare-staffing.aspx"	"http://goldenliving.com"	"goldenliving.com"
"18"	"015040"	"GOLDEN LIVING CENTER - MONTGOMERY"	"3342631643"	"MONTGOMERY"	"AL"	"36106"	""	"www.elmcroft.com"	""	""	""	"http://www.elmcroft.com/community/elmcroft-of-halcyon/"	"www.elmcroft.com,elmcroftal.com"
"19"	"015042"	"SUMTER HEALTH AND REHABILITATION, L L C"	"2053925281"	"YORK"	"AL"	"36925"	"http://sumterhealthandrehab.com/"	"sumterhealthandrehab.com"	""	""	"http://sumterhealthandrehab.com/wp-content/uploads/2016/07/sumter-privacy-notice.pdf"	"http://sumterhealthandrehab.com/"	"sumterhealthandrehab.com"
"20"	"015043"	"SOUTH HAVEN HEALTH AND REHABILITATION CENTER"	"3342880122"	"MONTGOMERY"	"AL"	"36116"	""	""	""	""	""	""	""
"21"	"015044"	"CAREGIVERS OF PLEASANT GROVE, INC"	"2057448120"	"PLEASANT GROVE"	"AL"	"35127"	""	""	""	""	""	""	""
"22"	"015045"	"EAMC LANIER NURSING HOME"	"3347561401"	"VALLEY"	"AL"	"36854"	""	""	""	""	""	""	""
"23"	"015047"	"NORTHWAY HEALTH AND REHABILITATION, LLC"	"2053285870"	"BIRMINGHAM"	"AL"	"35234"	""	""	""	""	""	""	""
"24"	"015048"	"CULLMAN HEALTH CARE CENTER"	"2567348745"	"CULLMAN"	"AL"	"35055"	""	"local.yp.com"	""	""	""	"http://local.yp.com/listings/details.aspx"	"local.yp.com"
"25"	"015049"	"EASTERN SHORE REHABILITATION AND HEALTH CENTER"	"2516214200"	"DAPHNE"	"AL"	"36526"	""	""	""	""	""	""	""
"26"	"015050"	"OAK TRACE CARE & REHABILITATION CENTER"	"2054289383"	"BESSEMER"	"AL"	"35020"	""	"local.yp.com"	""	""	""	"http://local.yp.com/listings/details.aspx"	"local.yp.com"
"27"	"015053"	"CLEBURNE COUNTY NURSING HOME"	"2564632121"	"HEFLIN"	"AL"	"36264"	""	"www.beckwoodmanor.com"	""	""	""	"http://www.beckwoodmanor.com"	"www.beckwoodmanor.com"
"28"	"015060"	"TERRACE OAKS CARE & REHABILITATION CENTER"	"2054283249"	"BESSEMER"	"AL"	"35020"	""	"www.leaderdog.org"	"donorsupport@leaderdog.org"	"donorsupport@leaderdog.org,leaderdog@leaderdog.org"	"http://www.leaderdog.org/volunteers/about-puppy-raising,http://www.leaderdog.org/mission-values,http://www.leaderdog.org/supporters/donor-privacy-policy,http://www.leaderdog.org/contact,http://www.leaderdog.org/about-us/facilities"	"http://www.leaderdog.org"	"www.leaderdog.org"
"29"	"015063"	"GOLDEN LIVING CENTER - BOAZ"	"2565938380"	"BOAZ"	"AL"	"35957"	""	"www.elmcroft.com"	""	""	""	"http://www.elmcroft.com"	"www.elmcroft.com"
